tag,point_id,cell_id,cell_tag,rep,policy,rho,update_seq,update_kind,digest,fate_class,v_next
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,0,upsert,L0040,A_no_future_use,
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,1,upsert,L0004,D_meaningful_value_flip,38.96
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,2,upsert,L0002,B_no_decision_flip,0.0
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,3,upsert,L0040,A_no_future_use,
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,4,upsert,L0003,D_meaningful_value_flip,40.96
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,5,upsert,L0000,D_meaningful_value_flip,40.96
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,6,upsert,L0046,B_no_decision_flip,0.0
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,7,upsert,L0025,B_no_decision_flip,0.0
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,8,upsert,L0002,B_no_decision_flip,10.24
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,9,upsert,L0033,B_no_decision_flip,0.0
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,10,upsert,L0007,D_meaningful_value_flip,38.96
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,11,upsert,L0025,D_meaningful_value_flip,10.24
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,12,upsert,L0029,B_no_decision_flip,0.0
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,13,upsert,L0028,A_no_future_use,
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,14,upsert,L0044,A_no_future_use,
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,15,upsert,L0033,D_meaningful_value_flip,12.24
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,16,upsert,L0019,D_meaningful_value_flip,40.96
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,17,upsert,L0000,B_no_decision_flip,10.24
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,18,upsert,L0012,A_no_future_use,
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,19,upsert,L0013,D_meaningful_value_flip,38.96
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,20,upsert,L0041,A_no_future_use,
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,21,upsert,L0014,A_no_future_use,
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,22,upsert,L0003,B_no_decision_flip,0.0
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,23,upsert,L0000,B_no_decision_flip,0.0
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,24,upsert,L0009,A_no_future_use,
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,25,upsert,L0000,B_no_decision_flip,-20.48
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,26,upsert,L0027,A_no_future_use,
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,27,upsert,L0015,A_no_future_use,
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,28,upsert,L0000,B_no_decision_flip,0.0
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,29,upsert,L0001,A_no_future_use,
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,30,upsert,L0007,A_no_future_use,
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,31,upsert,L0044,A_no_future_use,
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,32,upsert,L0002,B_no_decision_flip,10.24
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,33,upsert,L0008,A_no_future_use,
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,34,upsert,L0057,A_no_future_use,
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,35,upsert,L0022,A_no_future_use,
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,36,upsert,L0001,A_no_future_use,
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,37,upsert,L0058,A_no_future_use,
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,38,upsert,L0000,A_no_future_use,
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,39,upsert,L0010,A_no_future_use,
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,40,upsert,L0006,A_no_future_use,
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,41,upsert,L0056,A_no_future_use,
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,42,upsert,L0021,A_no_future_use,
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,43,upsert,L0006,A_no_future_use,
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,44,upsert,L0046,A_no_future_use,
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,45,upsert,L0003,A_no_future_use,
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,46,upsert,L0001,A_no_future_use,
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,47,upsert,L0007,A_no_future_use,
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,48,upsert,L0003,A_no_future_use,
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,49,upsert,L0014,A_no_future_use,
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,50,upsert,L0019,A_no_future_use,
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,51,upsert,L0038,A_no_future_use,
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,52,upsert,L0035,A_no_future_use,
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,53,upsert,L0004,A_no_future_use,
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,54,upsert,L0000,A_no_future_use,
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,55,upsert,L0029,A_no_future_use,
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,56,upsert,L0005,A_no_future_use,
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,57,upsert,L0025,A_no_future_use,
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,58,upsert,L0023,A_no_future_use,
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,59,upsert,L0020,A_no_future_use,
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,60,upsert,L0000,A_no_future_use,
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,61,upsert,L0049,A_no_future_use,
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,62,upsert,L0033,A_no_future_use,
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,63,upsert,L0013,A_no_future_use,
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,64,upsert,L0038,A_no_future_use,
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,65,upsert,L0018,A_no_future_use,
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,66,upsert,L0007,A_no_future_use,
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,67,upsert,L0036,A_no_future_use,
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,68,upsert,L0015,A_no_future_use,
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,69,upsert,L0008,A_no_future_use,
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,70,upsert,L0000,A_no_future_use,
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,71,upsert,L0000,A_no_future_use,
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,72,upsert,L0008,A_no_future_use,
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,73,upsert,L0007,A_no_future_use,
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,74,upsert,L0008,A_no_future_use,
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,75,upsert,L0001,A_no_future_use,
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,76,upsert,L0004,A_no_future_use,
